Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Bruce Zimmermann,1130,3.931152206,4.184742473,4.051042997,3.917089811,3.608053151,4.023060865,,
Jésus Tinoco,350,3.931786445,,5.45084187,3.002490333,,3.530143538,,
Domingo Acevedo,1005,3.93328226,4.573461501,4.832729751,3.604086267,3.442469978,,,
Tyler Alexander,1591,3.937765594,3.696753282,4.615352532,3.182986694,4.161917923,,3.849502372,
Jake McGee,629,3.945048152,3.956927362,,3.887094159,,,,
Jovani Moran,672,3.947349423,3.859128041,,4.74345895,3.98640052,,,
Caleb Ferguson,580,3.94851978,4.062750807,,,,3.717677914,,
Zack Thompson,575,3.949288735,3.8976609,,,5.530043061,3.698774469,4.033733518,
Bryan Baker,1181,3.950260874,4.117238141,,,4.457477138,,3.260542223,
Matt Moore,1248,3.950682769,4.353208313,,,3.523568552,3.790157092,,
Ryne Stanek,895,3.951230677,4.081324304,,4.427440463,,,,3.23720226
Luis Cessa,1235,3.952811249,4.844020847,4.542237199,3.375632099,3.511385536,,,
Cody Poteet,448,3.953138896,4.383242699,3.962151267,3.863045375,3.990041632,,,
Austin Voth,1762,3.954650379,4.336078171,,2.361329273,,3.692544234,4.085126596,
Kyle Gibson,2739,3.956763205,5.030649677,4.261708781,3.43461032,3.646870871,3.621287547,3.64116636,
Diego Castillo,843,3.963882072,6.322329999,5.191709362,3.225505421,,,,
Tommy Nance,751,3.963894094,5.564305703,4.013602191,4.015642095,,3.294918776,,
José Leclerc,782,3.964833293,4.929393093,,2.828461131,4.719494333,,,
Sonny Gray,1872,3.965665344,3.422799125,5.23646218,3.269836489,,3.403886479,4.836652641,
Matt Foster,768,3.965774536,4.014102639,,3.61323596,5.074321615,4.149031123,,
Jason Alexander,1160,3.967465849,6.513359292,3.906337888,3.387773608,4.36943391,,,
Charlie Morton,2903,3.967739017,4.882391039,4.461897635,,4.279341343,3.238317144,2.819719074,
Ian Gibaut,694,3.96778361,4.596946515,,2.424734661,3.131862863,,4.981694506,
Elvis Peguero,308,3.970297447,,4.508236627,3.645292878,,,,
Jaime Barría,1123,3.97467695,4.746213195,4.651841458,3.544827177,3.353911176,,,
Kirby Snead,780,3.975489602,5.479903862,4.049347828,2.973421924,5.901737218,,,
Jandel Gustave,466,3.976924079,3.65406366,4.672972164,2.962769932,,,,
David Price,596,3.977773745,4.617837893,3.944092011,,3.599233514,4.047868476,2.975270917,
José Quintana,2724,3.980937259,3.568855936,4.265100298,,4.982149491,3.653775967,,
Colin Poche,974,3.982176174,3.771699754,,,,4.738253486,,
Tarik Skubal,1914,3.986270894,4.462863222,4.247380136,3.527871246,3.601748219,4.254641347,,
Reiver Sanmartin,1031,3.988310964,5.004353291,3.632956993,3.843499985,3.801000691,,,
Austin Gomber,2059,3.988900496,4.802877228,,3.001337163,3.35505406,4.176451227,,
Brock Burke,1330,3.990876356,4.314634092,4.872571554,3.171635737,3.522975131,,,
Tyler Cyr,224,3.991263485,5.099404216,,,2.320789673,,4.173184098,
Daniel Castano,577,3.992730684,5.594471327,5.613012086,3.854137708,4.487305157,,3.083906349,
Matt Brash,935,3.994476519,5.24693179,,3.540454265,,3.561605863,,
Matt Strahm,764,3.996110831,3.722590161,4.095730833,4.011783124,5.809120916,3.577967222,,
Mike Clevinger,1931,3.99704451,4.016926885,4.716152823,3.305456727,5.012847485,5.339994021,3.358751449,
Kyle Crick,279,3.999966966,,5.448591048,3.331197347,,,,
Manny Bañuelos,718,4.006787928,4.449536834,4.407655468,3.958901392,5.255230373,2.741272939,,
Mychal Givens,1026,4.009017115,3.708809649,,4.282017754,4.616543055,,,
Johan Oviedo,980,4.013645717,5.321557438,,2.268556528,6.664836318,4.038886928,,
Robbie Ray,3047,4.016645482,3.28335683,4.93331166,4.193981596,6.293775689,3.961710203,,
Miguel Castro,522,4.017287419,,4.75075867,2.752847598,5.611604691,,,
Derek Law,352,4.018949347,5.417380979,5.598429218,3.937618768,,4.005324415,,
Josh Hader,943,4.021454468,,4.033680807,3.90987323,5.250860626,,,
Spenser Watkins,1642,4.021480222,4.973000012,,2.5690265,4.991398581,4.130575905,3.507522607,
Manuel Rodríguez,203,4.023286029,5.597652059,4.116307486,3.473473218,,,,
Will Vest,1083,4.023809524,4.038147475,,3.832687823,4.696791465,,,
Mitch Keller,2661,4.024882383,4.442572628,4.430806989,2.916515457,4.408417026,4.00164807,,
Aaron Bummer,457,4.026921272,,4.453502746,3.353327947,,,3.225924887,
Collin Snider,583,4.034691227,,4.795731169,3.428831491,,,,
Beau Sulser,360,4.03664922,,4.694492103,,4.223561643,4.736860612,3.095376341,
Justin Lawrence,763,4.037902594,,4.996427716,2.860079548,,,,
Joe Ryan,2391,4.038014107,3.757489601,,3.735545113,5.48219088,4.926045562,,
Johnny Cueto,2372,4.040270354,3.837808217,3.9601587,3.458234947,4.69303187,,4.265838946,
