Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Dennis Santana,284,4.373723647,,3.9139111,4.760473398,5.069862231,,,,4.867735,0.425,0.175,0.4,0.025
Paul Fry,376,4.382102273,5.509656634,,3.076802675,,,,,4.76646,0.428571429,0.167487685,0.403940887,0.024630542
José Ureña,396,4.382287707,4.320853247,4.527362403,3.522093837,7.602126953,,,,4.0934863,0.107142857,0.321428571,0.571428571,-0.464285714
Wander Suero,381,4.382937579,,,,4.900817299,4.288866733,4.29993021,,5.0627074,0.461038961,0.185064935,0.353896104,0.107142857
Max Scherzer,1213,4.391673173,4.762089302,,3.248082642,3.618123146,4.845703637,5.701245148,,5.05261,0.459459459,0.162162162,0.378378378,0.081081081
Nick Nelson,374,4.392572834,5.170369961,,4.18863551,2.395401099,7.190047812,,,4.962981,0.462264151,0.202830189,0.33490566,0.127358491
Jeremy Jeffress,340,4.395151193,5.458882542,4.304309317,,,4.894547163,,3.689526852,5.1371903,0.438596491,0.175438596,0.385964912,0.052631579
Ian Kennedy,261,4.399830409,4.42978021,,,,6.113876121,4.781518262,,5.2207475,0.511450382,0.190839695,0.297709924,0.213740458
John Schreiber,282,4.402637076,4.077682465,,,6.737195587,4.290858989,,,5.2801046,0.464566929,0.236220472,0.299212598,0.165354331
Jalen Beeks,323,4.404650195,3.855811039,,,4.894315648,,4.541275428,,5.2573066,0.554744526,0.124087591,0.321167883,0.233576642
Zack Britton,289,4.405978554,,4.247974354,5.139243499,,,,,4.9974337,0.452586207,0.172413793,0.375,0.077586207
Hoby Milner,247,4.409193134,,5.472473676,,,3.344738012,,,5.5265694,0.490740741,0.240740741,0.268518519,0.222222222
Seth Lugo,610,4.409965376,4.786760091,4.969007693,4.153283038,5.016724153,2.982270501,,,5.1562276,0.445652174,0.25,0.304347826,0.141304348
J.A. Happ,787,4.411565007,4.642172632,4.770771122,4.177760627,3.795893707,,,,5.2189574,0.458715596,0.201834862,0.339449541,0.119266055
Jaime Barría,511,4.415454825,5.357617644,6.165113336,2.991603894,5.887655377,,,,4.6773415,0.327380952,0.232142857,0.44047619,-0.113095238
Freddy Peralta,553,4.420952017,4.118545722,,,,5.111544597,,,5.323377,0.502747253,0.142857143,0.354395604,0.148351648
Dan Altavilla,363,4.423413886,4.711053852,,4.273983375,,,,,5.211137,0.464864865,0.221621622,0.313513514,0.151351351
Antonio Senzatela,1137,4.423679976,4.493591985,,3.741357647,5.036386715,5.267916429,,,5.200947,0.466666667,0.214035088,0.319298246,0.147368421
José Berríos,1102,4.423826187,4.967405688,4.747496166,,4.409049709,3.695604112,,,5.361918,0.490853659,0.262195122,0.24695122,0.243902439
Lucas Giolito,1214,4.428801928,5.165571099,,4.556706424,3.385568237,,,,4.8446846,0.382736156,0.216612378,0.400651466,-0.017915309
Ryan Weber,645,4.429610141,,4.397714312,,4.514688243,4.503963532,5.61612606,,4.9229217,0.414634146,0.207317073,0.37804878,0.036585366
Kwang Hyun Kim,613,4.431471996,4.53721522,,3.87829159,5.008493052,5.087272659,,,4.7864275,0.326923077,0.153846154,0.519230769,-0.192307692
Pierce Johnson,310,4.434383392,5.533565553,5.438830778,,,3.561578452,,,4.61361,0.385542169,0.120481928,0.493975904,-0.108433735
Mychal Givens,415,4.439947214,4.412113887,,4.07944341,4.873630024,,,,5.317631,0.523809524,0.142857143,0.333333333,0.19047619
Daniel Hudson,378,4.45714483,4.422686401,,4.84362493,4.138555598,,,,5.19828,0.530821918,0.164383562,0.304794521,0.226027397
Nick Vincent,323,4.465683097,4.535984944,,5.96220349,4.856965713,,4.69146442,,4.284769,0.375,0.25,0.375,0
Cy Sneed,336,4.469433711,,,3.799199417,,6.272155468,4.686589702,,5.198474,0.527659574,0.187234043,0.285106383,0.242553191
Yusei Kikuchi,795,4.472538076,4.859667913,,4.217871905,6.420250522,,4.086672102,,4.954436,0.472789116,0.132653061,0.394557823,0.078231293
José Cisnero,519,4.475013304,4.93837186,,3.857600669,4.891030567,,,,5.312438,0.453947368,0.197368421,0.348684211,0.105263158
