Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Ranger Suárez,1614,4.099574251,4.742101982,3.874842323,3.805082724,4.003772325,,,
Codi Heuer,1049,4.100492874,4.99881181,3.935929698,3.695156369,3.989038557,,,
Brent Honeywell Jr.,78,4.101297525,6.194198315,,,,,3.916372776,
Austin Gomber,1851,4.101651142,4.787083689,,3.290842857,3.706027126,4.070728004,,
Miles Mikolas,709,4.107778179,4.496401381,4.093976307,3.433108241,3.553558197,4.755516489,3.179623333,
Tylor Megill,1554,4.110459452,4.326694008,,4.446812543,3.233462989,5.358957303,,
Sean Manaea,2980,4.116080245,,4.288499026,,3.713011946,4.208548355,,
Bailey Falter,552,4.117767334,3.417761614,4.313101906,5.164520689,5.076624397,,,
Fernando Abad,299,4.11806704,7.785031565,4.201321419,,3.994682169,4.00638555,,
Joe Musgrove,2938,4.120081397,5.053914658,5.349876059,3.197347901,5.738159119,4.128963568,3.787213096,
Trevor Stephan,1210,4.120300454,5.127459778,,2.242435087,6.126760483,,,
Luis Patiño,1365,4.121613733,3.967158563,5.493425383,3.916226416,5.900159203,4.529611907,,
Kyle Tyler,190,4.125672108,,,4.34560633,,,4.821281909,
Marcus Stroman,2741,4.131874127,4.284749181,4.455908606,3.015619517,,3.293054243,3.614736541,5.34094415
Aaron Civale,1909,4.13691511,5.109830938,6.681487108,2.844240456,4.831634925,3.558371308,2.571827932,5.527342899
Chasen Shreve,936,4.142706516,4.354183915,,3.614670468,,,,4.354645774
Joe Ryan,412,4.144675541,3.677488482,,3.896795125,5.802831792,6.384273224,,
Tarik Skubal,2547,4.147409575,4.415984093,4.174188352,2.549122983,5.382194668,5.262411027,,5.539519974
Andrew Heaney,2330,4.149378916,3.709917877,,,5.447977211,4.89647099,,
Vladimir Gutierrez,1831,4.151875011,4.657219523,,3.622618731,3.500117139,3.99087048,,
Génesis Cabrera,1195,4.153428432,3.636701968,5.161208321,,4.075558995,4.559961057,,
Bryse Wilson,1136,4.158929773,4.101824378,4.222208661,5.117363936,5.24430869,3.178001981,,
Joe Ross,1700,4.170639038,4.736448857,4.291332197,3.468492481,5.29358929,,,
Austin Warren,306,4.170732092,4.718926948,4.005271246,4.533159719,,,,
Tucker Davidson,303,4.173720932,5.266369864,,2.700838643,,5.081942219,,
Eduardo Rodriguez,2721,4.175276581,4.407574619,3.861673852,3.945830545,3.498457292,,4.830655793,
Jacob Webb,568,4.176897067,4.682935622,,,3.310000144,6.046697018,,
Victor González,557,4.178673222,3.592720507,4.965408194,4.020793264,,,,
Clay Holmes,1124,4.189041574,,4.377807619,3.267212102,,5.297258097,,
Jesse Chavez,528,4.193550336,,4.789730332,4.158426545,5.536606022,,3.8493429,
Tommy Milone,241,4.200988497,4.758672881,,6.80621131,2.848815254,5.155578145,,
John Brebbia,332,4.203637557,4.883696928,,3.701019801,,,,
Jordan Zimmermann,82,4.205060173,,4.907646979,6.306427965,,,,
Alex Wood,2195,4.212413494,,4.480956487,3.605743318,4.516300377,,,
Zach Plesac,2205,4.215165753,4.701928617,,3.712375336,3.669319794,4.635983255,,
Brooks Raley,865,4.218318394,7.232527121,5.291322734,2.964076399,7.146070237,4.350566893,3.818084718,
DJ Johnson,72,4.222952623,3.852716285,,,,7.304561057,,
Patrick Corbin,2750,4.232309049,4.783877242,5.024118288,3.301761415,3.517390654,6.25010671,,
Tyler Mahle,3196,4.237121582,3.934181561,,4.385367893,,,,4.968574179
Burch Smith,678,4.238834557,4.157966579,,,5.426827286,3.79729182,,
Travis Bergen,188,4.240627527,4.289457094,,,,3.90696162,,
Julio Teheran,90,4.249370193,,5.400319934,4.563998858,,,,
Kyle Freeland,1886,4.249739842,3.95012165,4.484612165,4.149647265,5.077896785,3.808070424,,
Luis Garcia,2502,4.249918794,4.584518562,,3.576999,4.037973087,4.462488254,3.972578106,
Erick Fedde,2410,4.254921112,4.03150337,5.525484415,,4.790299506,2.822027542,3.271313848,
Carlos Carrasco,889,4.256076505,4.763055797,4.627379063,4.126325906,3.402419681,4.81054524,,
Ryan Brasier,197,4.256115278,4.270257347,,4.595963799,,,,
Lucas Sims,815,4.257086571,4.084297908,,4.009346411,,4.88451486,,
Lucas Luetge,1242,4.259481685,3.675800584,,4.268788314,,5.142721667,4.177487446,
Huascar Ynoa,1482,4.260074154,5.296702797,7.209817287,3.03680826,4.944237965,,,
JT Chargois,876,4.262093112,7.043262066,4.330803868,4.023234276,,,,
Sonny Gray,2228,4.263564387,4.323213147,4.840875859,3.635727259,4.969594714,3.781156322,4.499843091,
Michael Fulmer,1183,4.266496722,4.796573718,4.734085967,3.401457758,5.326627077,4.817750995,,
Wyatt Mills,230,4.270520662,5.610983043,4.378651802,3.852237137,,,,
Will Smith,1079,4.27160824,4.955045869,,3.60704469,,3.841833168,,
Lou Trivino,1177,4.272154657,4.709435029,3.848377987,,3.398144528,4.816907777,4.697786488,
Michael Rucker,490,4.276661144,5.152374615,,3.842904763,5.162988908,3.380683203,3.832153254,
Wade Miley,2592,4.278094145,6.04569672,4.175661113,4.273633355,3.698522176,5.669281313,3.890850648,
Joel Payamps,826,4.27834598,4.456963003,5.126096778,3.776208589,3.833000578,,,
Héctor Neris,1243,4.280271795,4.50531605,4.20074708,3.848148977,,,,4.141845568
Domingo Germán,1579,4.281988422,4.464033123,4.557567736,,3.549457834,4.506417343,,
Noé Ramirez,579,4.288519541,4.805692341,,,5.220116606,2.978796703,,
Robert Stephenson,767,4.290368785,4.80181107,,4.369421575,,3.347293567,,
Darien Núñez,127,4.293022653,5.728319355,,,3.303519411,,,
Cole Irvin,2682,4.296911393,4.596084317,5.041137282,3.420996188,3.702587783,3.934679086,,
Edgar Santana,610,4.303174138,,4.561709789,3.842718748,,,,
Michael Lorenzen,481,4.307900527,3.733519153,5.247404058,4.322006946,5.9529756,,3.6173865,
Luke Weaver,1109,4.310852051,4.449034886,,,4.108469665,6.448397564,3.352665067,
Jeurys Familia,1017,4.314204527,6.481085482,3.702325282,4.389049238,,,,5.26439672
Pierce Johnson,1045,4.315361803,,5.404852668,,,3.884563398,,
José Marte,84,4.318488121,,5.987040437,4.367456102,,,,
Randy Dobnak,765,4.318586751,5.207800951,3.884137663,4.727215996,4.293207028,,,
Josh Tomlin,808,4.321626818,4.925119036,,,,5.054391833,4.099188684,
Félix Peña,65,4.322319031,,,12.21524943,,,,
Kyle Gibson,2881,4.322358855,5.728718484,4.591927916,3.738054529,3.667339364,3.669573538,4.112387166,
